regiao	cidade	hospital	Efetivo Enf	Efetivo Quarto	Efetivo Plus Enf	Efetivo Plus Quarto	Saúde + Enf	Saúde + Quarto	Nacional II Enf	Nacional III Quarto	Nacional III 2 Quarto	Nacional III 3 Quarto	Nacional Plus 4 Quarto	Nacional Plus 6 Quarto	Nacional Plus 8 Quarto	Premium 6 Quarto	Premium 8 Quarto	Premium 10 Quarto
Alto Tietê	Mogi das Cruzes	H e Mat Mogi Mater	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Alto Tietê	Mogi das Cruzes	H Ipiranga	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Alto Tietê	Suzano	H Saint Nicholas	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Alto Tietê	Arujá	Ipiranga (AMA)	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Alto Tietê	Guararema	Sta Casa	-	-	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Alto Tietê	Santa Isabel	Sta Casa	-	-	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Alto Tietê	Mogi das Cruzes	H Santana	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Baixada Santista	Santos	H Infantil de Santos	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Guarujá	H Sto Amaro	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Cubatão	H Ana Costa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Santos	H Benef Portuguesa de Santos	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Santos	H São Lucas de Santos	H,M,PS	H,M,PS	H,M	H,M	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
